################################# CSV #######################
,Folder,File,Settings,Toolchain,Message,Runtime (ns),Allocated memory end (bytes),Max. memory available (bytes),Overall iterations,NumberOfCodeBlocks,SizeOfPredicates,Conjuncts in SSA,Conjuncts in UnsatCore,ICC
 & Kojak-TreeInterpolation.epf & 5 & 61.08 s & 1467.99 MB & 125 & 0 & -1 & -1 & -1 & 7.98\%\\
 &  &  & Kojak-FP.epf & 5 & 49.28 s & 1464.35 MB & 72 & 0 & - & 16.3 K & 3.6 K & 7.97\%\\
\midrule
\multirow{10}{*}{\folder{loop-invgen}} &
\multirow{2}{*}{0} &
\multirow{2}{*}{\folder{Unsafe}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Safe}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Error}} 
 & Kojak-TreeInterpolation.epf & 5 & 24.56 s & 1029.06 MB & 26 & 0 & 0 & 0 & 0 & 26.98\%\\
 &  &  & Kojak-FP.epf & 5 & 25.18 s & 1027.08 MB & 38 & 0 & - & 4.4 K & 906 & 0.66\%\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & Kojak-TreeInterpolation.epf & 5 & 24.56 s & 1029.06 MB & 26 & 0 & 0 & 0 & 0 & 26.98\%\\
 &  &  & Kojak-FP.epf & 5 & 25.18 s & 1027.08 MB & 38 & 0 & - & 4.4 K & 906 & 0.66\%\\
\midrule
\multirow{10}{*}{\folder{ntdrivers-simplified}} &
\multirow{2}{*}{2} &
\multirow{2}{*}{\folder{Unsafe}} 
 & Kojak-TreeInterpolation.epf & 1 & 28.27 s & 1526.00 MB & 65 & 0 & -1 & -1 & -1 & -\\
 &  &  & Kojak-FP.epf & 1 & 49.26 s & 1042.63 MB & 62 & 0 & - & 20.4 K & 372 & -\\
& \multirow{2}{*}{3} &
\multirow{2}{*}{\folder{Safe}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Error}} 
 & Kojak-TreeInterpolation.epf & 4 & 50.94 s & 1192.28 MB & 110 & 0 & -1 & -1 & -1 & 34.52\%\\
 &  &  & Kojak-FP.epf & 4 & 61.10 s & 1474.86 MB & 94 & 0 & - & 31.4 K & 700 & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & Kojak-TreeInterpolation.epf & 5 & 46.41 s & 1259.03 MB & 101 & 0 & -1 & -1 & -1 & 27.62\%\\
 &  &  & Kojak-FP.epf & 5 & 58.73 s & 1388.41 MB & 88 & 0 & - & 29.2 K & 634 & -\\
\midrule
\multirow{10}{*}{\folder{systemc}} &
\multirow{2}{*}{2} &
\multirow{2}{*}{\folder{Unsafe}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& \multirow{2}{*}{3} &
\multirow{2}{*}{\folder{Safe}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Error}} 
 & Kojak-TreeInterpolation.epf & 5 & 60.45 s & 1352.40 MB & 208 & 0 & -1 & -1 & -1 & 83.82\%\\
 &  &  & Kojak-FP.epf & 5 & 62.09 s & 1731.04 MB & 80 & 0 & - & 29.3 K & 729 & 81.50\%\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & Kojak-TreeInterpolation.epf & 5 & 60.45 s & 1352.40 MB & 208 & 0 & -1 & -1 & -1 & 83.82\%\\
 &  &  & Kojak-FP.epf & 5 & 62.09 s & 1731.04 MB & 80 & 0 & - & 29.3 K & 729 & 81.50\%\\
\midrule
\multirow{10}{*}{\folder{recursive}} &
\multirow{2}{*}{1} &
\multirow{2}{*}{\folder{Unsafe}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& \multirow{2}{*}{4} &
\multirow{2}{*}{\folder{Safe}} 
 & Kojak-TreeInterpolation.epf & 2 & 0.15 s & 769.72 MB & 5 & 0 & -1 & -1 & -1 & 68.33\%\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 1 & 60.00 s & 1085.06 MB & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Error}} 
 & Kojak-TreeInterpolation.epf & 3 & 60.03 s & 805.33 MB & 2.5 K & 0 & -1 & -1 & -1 & 93.85\%\\
 &  &  & Kojak-FP.epf & 4 & 61.81 s & 1113.72 MB & 1.9 K & 0 & - & 109.6 K & 8.2 K & 77.40\%\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & Kojak-TreeInterpolation.epf & 5 & 36.08 s & 791.09 MB & 1.5 K & 0 & -1 & -1 & -1 & 83.65\%\\
 &  &  & Kojak-FP.epf & 5 & 61.44 s & 1107.99 MB & 1.5 K & 0 & - & 87.7 K & 6.6 K & 61.92\%\\
\midrule
\multirow{10}{*}{\folder{locks}} &
\multirow{2}{*}{1} &
\multirow{2}{*}{\folder{Unsafe}} 
 & Kojak-TreeInterpolation.epf & 1 & 0.42 s & 402.81 MB & 2 & 0 & -1 & -1 & -1 & -\\
 &  &  & Kojak-FP.epf & 1 & 0.35 s & 402.81 MB & 2 & 0 & - & 26 & 1 & -\\
& \multirow{2}{*}{4} &
\multirow{2}{*}{\folder{Safe}} 
 & Kojak-TreeInterpolation.epf & 4 & 0.49 s & 318.13 MB & 2 & 0 & -1 & -1 & -1 & -\\
 &  &  & Kojak-FP.epf & 4 & 0.67 s & 277.72 MB & 2 & 0 & - & 23 & 1 & -\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Error}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & Kojak-TreeInterpolation.epf & 5 & 0.47 s & 335.06 MB & 2 & 0 & -1 & -1 & -1 & -\\
 &  &  & Kojak-FP.epf & 5 & 0.60 s & 302.74 MB & 2 & 0 & - & 24 & 1 & -\\
\midrule
\multirow{10}{*}{\folder{ssh-simplified}} &
\multirow{2}{*}{2} &
\multirow{2}{*}{\folder{Unsafe}} 
 & Kojak-TreeInterpolation.epf & 2 & 3.01 s & 1309.34 MB & 25 & 0 & -1 & -1 & -1 & 63.99\%\\
 &  &  & Kojak-FP.epf & 2 & 2.10 s & 1161.97 MB & 20 & 0 & - & 2.1 K & 65 & 63.27\%\\
& \multirow{2}{*}{3} &
\multirow{2}{*}{\folder{Safe}} 
 & Kojak-TreeInterpolation.epf & 2 & 28.24 s & 1378.16 MB & 80 & 0 & -1 & -1 & -1 & 94.61\%\\
 &  &  & Kojak-FP.epf & 2 & 32.24 s & 1323.75 MB & 63 & 0 & - & 16.4 K & 254 & 95.11\%\\
& & \multirow{2}{*}{\folder{Timeout}} 
 & Kojak-TreeInterpolation.epf & 0 & - & - & - & - & - & - & - & -\\
 &  &  & Kojak-FP.epf & 0 & - & - & - & - & - & - & - & -\\
& & \multirow{2}{*}{\folder{Error}} 
 & Kojak-TreeInterpolation.epf & 1 & 60.34 s & 1537.19 MB & 132 & 0 & -1 & -1 & -1 & 95.87\%\\
 &  &  & Kojak-FP.epf & 1 & 7.51 s & 1537.19 MB & - & - & - & - & - & -\\
& \multirow{2}{*}{5} &
\multirow{2}{*}{\folder{Total}} 
 & Kojak-TreeInterpolation.epf & 5 & 24.57 s & 1382.44 MB & 68 & 0 & -1 & -1 & -1 & 82.62\%\\
 &  &  & Kojak-FP.epf & 5 & 15.24 s & 1301.73 MB & 33 & 0 & - & 7.4 K & 127 & 63.35\%\\
\bottomrule
& & & & & & & & & & & & & \\
\end{tabu}}
\caption{Results for CodeCheckWithBE_C.xml.}
\end{table}
